Name,Category,PriceFull,PriceHalf,Description,ImageURL,PortionType
Channar Dalna,Main Course,180,100,Cottage cheese balls in gravy,https://source.unsplash.com/featured/?paneer-curry,Plate
Muri Ghonto,Main Course,200,0,Fish head cooked with rice,https://source.unsplash.com/featured/?fish-rice,Plate
Lau Chingri,Main Course,190,0,Bottle gourd with small prawns,https://source.unsplash.com/featured/?prawn-curry,Plate
Papad Bhaja,Starters,15,0,Crispy fried papadum,https://source.unsplash.com/featured/?papad,Quantity
Tomato Chutney,Starters,40,0,Sweet and tangy tomato relish,https://source.unsplash.com/featured/?tomato-chutney,Quantity
Mishti Doi,Dessert,60,0,Sweet fermented yogurt,https://source.unsplash.com/featured/?mishti-doi,Plate
Rosogolla (2pcs),Dessert,40,0,Sponge syrupy balls,https://source.unsplash.com/featured/?rasgulla,Quantity
Gulab Jamun (2pcs),Dessert,50,0,Fried milk solid balls,https://source.unsplash.com/featured/?gulab-jamun,Quantity
Payesh,Dessert,100,0,Rice pudding with jaggery,https://source.unsplash.com/featured/?kheer,Quantity
Sandesh (2pcs),Dessert,60,0,Traditional dry milk sweet,https://source.unsplash.com/featured/?sandesh-sweet,Quantity
Mineral Water 1L,Drinks,20,0,Chilled Bisleri,https://source.unsplash.com/featured/?mineral-water-bottle,Bottle
Mineral Water 500ml,Drinks,10,0,Travel size water,https://source.unsplash.com/featured/?water-bottle,Bottle
Milk Tea,Drinks,25,0,Strong Assam CTC Tea,https://source.unsplash.com/featured/?milk-tea,Cup
Black Tea,Drinks,15,0,Lemon and ginger tea,https://source.unsplash.com/featured/?black-tea,Cup
Coffee,Drinks,40,0,Instant milk coffee,https://source.unsplash.com/featured/?coffee-cup,Cup
Sweet Lassi,Drinks,80,0,Thick yogurt drink,https://source.unsplash.com/featured/?lassi,Cup
Fresh Lime Soda,Drinks,60,0,Sweet or Salted,https://source.unsplash.com/featured/?lime-soda,Cup
Coca Cola 500ml,Drinks,45,0,Pet bottle chilled,https://source.unsplash.com/featured/?coca-cola,Bottle
Sprite 500ml,Drinks,45,0,Pet bottle chilled,https://source.unsplash.com/featured/?sprite-drink,Bottle
Egg Curry (2pcs),Main Course,120,0,Boiled eggs in spicy gravy,https://source.unsplash.com/featured/?egg-curry,Plate
Chicken Dak Bunglow,Main Course,300,180,Heritage chicken curry with egg,https://source.unsplash.com/featured/?chicken-curry,Plate
Posto Bora (4pcs),Starters,120,0,Poppy seed fried fritters,https://source.unsplash.com/featured/?fritters,Quantity
Macher Matha Diye Dal,Main Course,130,0,Roasted Moong dal with fish head,https://source.unsplash.com/featured/?dal-curry,Plate
Kancha Lanka Murgi,Main Course,290,160,Green chili chicken (spicy),https://source.unsplash.com/featured/?spicy-chicken,Plate
Bhetki Fry,Starters,180,0,Pure Bhetki fillet fry,https://source.unsplash.com/featured/?fried-fish,Quantity
